SKU;Artículo;UMedida
10298;"NIPLE GALVANIZADO 1/2X6"" (12.7 mm x 15.24 cm)";Uni
10300;"NIPLE GALVANIZADO 1/2X8"" (12.7 mm x 20.32 cm)";Uni
10303;"NIPLE GALVANIZADO 1/2X11"" (12.7 mm x 27.94 cm)";Uni
103039;PUNTA ATORNILLADOR PHILLIPS #2 60 mm CON ADAP MAG MILWAUKEE 48325009 S/25;JGO
10304;"NIPLE GALVANIZADO 1/2X12"" (12.7 mm x 30.48 cm)";Uni
10306;"NIPLE GALVANIZADO 3/4X2"" (19.05 mm x 5.08 cm)";Uni
10307;"NIPLE GALVANIZADO 3/4X2.1/2"" (19.05 mm x 6.35 cm ) ";Uni
103074;RPTO MILWAUKEE CARBON 22185262                              ;Uni
10309;"NIPLE GALVANIZADO 3/4X4"" (19.05 mm x 10.16 cm) ";Uni
103090;RPTO MILWAUKEE CARBON PARA 5194 22180710;Uni
103097;BACTERIA PARA TANQUE SEPTICO 12 oz (340 g);Uni
103098;BACTERIA PARA TANQUE SEPTICO LIQUIDO 32 oz (946 mL) K37;Uni
10312;"NIPLE GALVANIZADO 3/4X7"" (19.05 mm x 17.78 cm) ";Uni
10313;"NIPLE GALVANIZADO 3/4X8"" (19.05 mm x 20.32 cm) ";Uni
102664;LLAVE PARA UNION RAPIDA CABLOFIL CM558260;Uni
102669;PERFILFAS 300 mm CABLOFIL CM014300;Uni
102670;"ADAPTADOR PARA CONDUIT 1/2"" (12.7 mm) CABLOFIL CM943175";Uni
102671;"ADAPTADOR PARA CONDUIT 3/4"" (19.05 mm) CABLOFIL CM943176";Uni
102676;"KIT DE SALIDA A CONDUIT 2"" (50.8 mm) CABLOFIL CM943243";Uni
102677;SALIDA DE CABLES 100 mm PARA BANDEJA CABLOFIL CM585160;Uni
102678;SOPORTE DE SALIDA FINAL PARA CABLE 300 mm CABLOFIL CM942895;Uni
102679;SOPORTE FINAL PARA BANDEJA CABLOFIL CM942419;Uni
102751;CAFETERA 12 TAZAS NEGRA OSTER BVSTDCS12B-013;Uni
102804;CADENA DECORADA ZINCADA 10;m
102819;"CABLE DE ACERO CON FORRO (3.17 mm) 1/8"" 7000497";m
102820;"CABLE DE ACERO ALMA DE ACERO (4.76 mm) 3/16"" 7000627";m
102821;"CABLE DE ACERO CON FORRO (4.76 mm) 3/16"" 7000697";m
102827;CADENA DECORADA ZINC HANDY 120 0723169;m
102834;CADENA DECORADA ZINC DOBLE LAZO No4/0;m
102835;CADENA DECORADA RECTA (4.76 mm)3/16 GRADO 30 143326;m
102836;CADENA DECORADA RECTA (6.35 mm)1/4 GRADO 30 143426;m
102837;CADENA DECORADA RECTA (7.93 mm) 5/16 143526;m
102841;CADENA DECORADA RECTA STRAIGHT 2/0 332426;m
102865;"MANGUERA PARA DUCHA 1/2""X 1.70 m (12.7 mm X 1.70 m)";Uni
102935;KIT DE UNION RAPIDA CABLOFIL CM558071;JGO
102962;TABLA PARA PICAR 12X18 VERDE LCHF-CCB-1218GN/CBGR-1218;Uni
102963;TABLA PARA PICAR 12X18 AMARILLA LCHF-CCB-1218YL;Uni
102964;TABLA PARA PICAR 12X18 ROJA LCHF-CCB-1218RD;Uni
102987;TOALLITAS DESINFECTANTES EXPERT CLOROX 106-0512 S/15;Uni
103006;RPTO MILWAUKEE MODULO ELECTRONICO P/2604-20 14202808;Uni
103008;RPTO MILWAUKEE KIT REVERSA 42422603;Uni
103013;RPTO MILWAUKEE CAMPO 120V 18070280;Uni
103016;RPTO MILWAUKEE CUNA PARA BALERO 6232-6117-6124-6147 42960016;Uni
103047;TUERCA MARIPOSA ZINC 10 mm;Uni
103051;"TUBO PVC 160 PSI 3"" (7.62 cm) JUNTA RAPIDA";Uni
103052;RPTO MILWAUKEE MUELLE DE TORSION P/6177-20 40501295;Uni
103053;RPTO MILWAUKEE SWITCH P/6177-20 23661425/23661035;Uni
103075;RPTO MILWAUKEE SWITCH 23665262                              ;Uni
103076;RPTO MILWAUKEE SWITCH AC 23660645                           ;Uni
103197;"CARRETILLA PARA MECANICO 36"" (91.44 cm) TACTIX 385004 ";Uni
103201;DESTORNILLADOR CON RATCHET STUBBY 6 EN 1 TACTIX 900063;JGO
103203;HERRAMIENTA MULTIUSO TENAZA DESTOR Y CUCHILLA 900111 S/3    ;JGO
103285;"ESPEJO RETROVISOR PARA CARRO 3.3/4"" (95.25 mm) 114-01-043/ESP-023";Uni
103294;SIERRA DE BANDA 18V 2BAT 5.0AH FUEL MILWAUKEE 272922;Uni
103308;RPTO MILWAUKEE BOQUILLA PARA PISTOLA 31120700               ;Uni
103309;RPTO MILWAUKEE PARA PISTOLA M12 20 oz (0.56 kg) 48080905;Uni
103375;FORRO PARA TIMON NEGRO/AZUL HUILI HL603BK/BL                ;Uni
103376;FORRO PARA TIMON NEGRO/ROJO HUILI HL603BK/RD;Uni
10315;"NIPLE GALVANIZADO 3/4X10"" (19.05 mm x 25.4 cm) ";Uni
10316;"NIPLE GALVANIZADO 3/4X11"" (19.05 mm x 27.94 cm) ";Uni
10319;"NIPLE GALVANIZADO 1X2"" (25.4 mm x 50.8 mm) ";Uni
103195;"ESTANTE MULTIUSO 3 PANELES 600 lb (272.1 kg) 48x22x36"" (121.92x55.88x91.44 cm) TACTIX 329012";Uni
103196;"ESTANTE MULTIUSO 4 PANELES 1650 lb (748.27 kg) 41x17x72"" (104.14x43.18x182.88 cm) TACTIX 329030";Uni
10321;"NIPLE GALVANIZADO 1X3"" (25.4 mm x 7.62 cm) ";Uni
10322;"NIPLE GALVANIZADO 1X4"" (25.4 mm x 10.16 cm) ";Uni
10324;"NIPLE GALVANIZADO 1X6"" (25.4 mm x 15.24 cm) ";Uni
10325;"NIPLE GALVANIZADO 1X7"" (25.4 mm x 17.78 cm) ";Uni
10328;"NIPLE GALVANIZADO 1X10"" (25.4 mm x 25.4 cm) ";Uni
10330;"NIPLE GALVANIZADO 1X12"" (25.4 mm x 30.48 cm) ";Uni
103307;AMPERIMETRO DIGITAL 400A MILWAUKEE 2235-20;Uni
103316;PUNTA PARA TESTER  MILWAUKEE 49771001;JGO
10333;"NIPLE GALVANIZADO 1.1/4X2.1/2"" (31.75 mm x 6.35 cm) ";Uni
10334;"NIPLE GALVANIZADO 1.1/4X3"" (31.75 mm x 7.62 cm) ";Uni
10337;"NIPLE GALVANIZADO 1.1/4X6"" (31.7 mm x 15.24 cm) ";Uni
10343;"NIPLE GALVANIZADO 1.1/4X12"" (31.75 mm x 30.48 cm) ";Uni
103450;ABRILLANTADOR PARA HOJAS 1 L HAPPY PLANT;Uni
10346;"NIPLE GALVANIZADO 1.1/2X2.1/2"" (38.1 mm x 6.35 cm) ";Uni
